[INFO ] [2017-09-18 03:06:11] file: WebDriverUtils.java, class: com.epam.lab.seleniumframework.utils.WebDriverUtils, method: gotToURL, line: 47, msg: Navigating to https://www.google.com/intl/ua/gmail/about/ 
[INFO ] [2017-09-18 03:06:16] file: WebDriverUtils.java, class: com.epam.lab.seleniumframework.utils.WebDriverUtils, method: gotToURL, line: 47, msg: Navigating to https://accounts.google.com/AccountChooser?service=mail&continue=https://mail.google.com/mail/ 
[INFO ] [2017-09-18 03:06:20] file: WebDriverUtils.java, class: com.epam.lab.seleniumframework.utils.WebDriverUtils, method: getWebDriverThreadLocal, line: 17, msg: Get instance
[INFO ] [2017-09-18 03:06:20] file: WebDriverUtils.java, class: com.epam.lab.seleniumframework.utils.WebDriverUtils, method: getWebDriverThreadLocal, line: 17, msg: Get instance
[INFO ] [2017-09-18 03:06:20] file: WebDriverUtils.java, class: com.epam.lab.seleniumframework.utils.WebDriverUtils, method: getWebDriverThreadLocal, line: 17, msg: Get instance
[INFO ] [2017-09-18 03:06:21] file: WebDriverUtils.java, class: com.epam.lab.seleniumframework.utils.WebDriverUtils, method: getWebDriverThreadLocal, line: 17, msg: Get instance
[INFO ] [2017-09-18 03:06:21] file: WebDriverUtils.java, class: com.epam.lab.seleniumframework.utils.WebDriverUtils, method: getWebDriverThreadLocal, line: 17, msg: Get instance
[INFO ] [2017-09-18 03:06:22] file: WebDriverUtils.java, class: com.epam.lab.seleniumframework.utils.WebDriverUtils, method: getWebDriverThreadLocal, line: 17, msg: Get instance
[INFO ] [2017-09-18 03:06:23] file: WebDriverUtils.java, class: com.epam.lab.seleniumframework.utils.WebDriverUtils, method: getWebDriverThreadLocal, line: 17, msg: Get instance
[INFO ] [2017-09-18 03:06:23] file: WebDriverUtils.java, class: com.epam.lab.seleniumframework.utils.WebDriverUtils, method: getWebDriverThreadLocal, line: 17, msg: Get instance
[INFO ] [2017-09-18 03:06:23] file: WebDriverUtils.java, class: com.epam.lab.seleniumframework.utils.WebDriverUtils, method: getWebDriverThreadLocal, line: 17, msg: Get instance
[INFO ] [2017-09-18 03:06:24] file: WebDriverUtils.java, class: com.epam.lab.seleniumframework.utils.WebDriverUtils, method: getWebDriverThreadLocal, line: 17, msg: Get instance
[INFO ] [2017-09-18 03:06:35] file: WebDriverUtils.java, class: com.epam.lab.seleniumframework.utils.WebDriverUtils, method: getWebDriverThreadLocal, line: 17, msg: Get instance
[INFO ] [2017-09-18 03:07:35] file: WebDriverUtils.java, class: com.epam.lab.seleniumframework.utils.WebDriverUtils, method: getWebDriverThreadLocal, line: 23, msg: Create instance
[INFO ] [2017-09-18 03:07:37] file: WebDriverUtils.java, class: com.epam.lab.seleniumframework.utils.WebDriverUtils, method: getWebDriverThreadLocal, line: 17, msg: Get instance
[INFO ] [2017-09-18 03:07:37] file: WebDriverUtils.java, class: com.epam.lab.seleniumframework.utils.WebDriverUtils, method: gotToURL, line: 47, msg: Navigating to https://www.google.com/intl/ua/gmail/about/ 
[INFO ] [2017-09-18 03:07:42] file: WebDriverUtils.java, class: com.epam.lab.seleniumframework.utils.WebDriverUtils, method: gotToURL, line: 47, msg: Navigating to https://accounts.google.com/AccountChooser?service=mail&continue=https://mail.google.com/mail/ 
[INFO ] [2017-09-18 03:07:45] file: WebDriverUtils.java, class: com.epam.lab.seleniumframework.utils.WebDriverUtils, method: getWebDriverThreadLocal, line: 17, msg: Get instance
[INFO ] [2017-09-18 03:07:46] file: WebDriverUtils.java, class: com.epam.lab.seleniumframework.utils.WebDriverUtils, method: getWebDriverThreadLocal, line: 17, msg: Get instance
[INFO ] [2017-09-18 03:07:46] file: WebDriverUtils.java, class: com.epam.lab.seleniumframework.utils.WebDriverUtils, method: getWebDriverThreadLocal, line: 17, msg: Get instance
